Date,Account,Description,Category,Tags,Amount
2023-12-28,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-9.84
2023-12-28,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-34.12
2023-12-28,"Spend Everyday Spending - Ending in 5119","Nordstrom","Clothing/Shoes",,-29.68
2023-12-28,"Spend Everyday Spending - Ending in 5119","Bp Global","Gasoline/Fuel",,-56.7
2023-12-27,"Spend Everyday Spending - Ending in 5119","Nordstrom","Clothing/Shoes",,-95.04
2023-12-27,"Reserve Short Term Planning - Ending in 5127","Interest Payment","Interest",,0.01
2023-12-26,"Spend Everyday Spending - Ending in 5119","Geico","Insurance",,-230.69
2023-12-26,"Spend Everyday Spending - Ending in 5119","T-mobile","Telephone",,-181.34
2023-12-22,"Spend Everyday Spending - Ending in 5119","Nintendo","Entertainment",,-59.88
2023-12-22,"Spend Everyday Spending - Ending in 5119","Tju Hospitals","Paychecks/Salary",,2153.5
2023-12-22,"Spend Everyday Spending - Ending in 5119","Sunoco","Gasoline/Fuel",,-6.58
2023-12-22,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-32.31
2023-12-21,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-10.44
2023-12-20,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-7.21
2023-12-20,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-16.97
2023-12-20,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-15.97
2023-12-19,"Spend Everyday Spending - Ending in 5119","6th & E Lobby Shop","General Merchandise",,-5.25
2023-12-19,"Spend Everyday Spending - Ending in 5119","Peco Energy Company","Utilities",,-156.45
2023-12-19,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-17.92
2023-12-19,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-16.64
2023-12-19,"Spend Everyday Spending - Ending in 5119","Steam","Entertainment",,-9.71
2023-12-19,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-20.26
2023-12-18,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-15.75
2023-12-18,"Spend Everyday Spending - Ending in 5119","Comcast","Cable/Satellite",,-89.99
2023-12-15,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-16.18
2023-12-15,"Spend Everyday Spending - Ending in 5119","Lyft","Travel",,-44.34
2023-12-15,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-16.91
2023-12-15,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-15.95
2023-12-14,"Spend Everyday Spending - Ending in 5119","6th & E Lobby Shop","General Merchandise",,-7.24
2023-12-14,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-6.46
2023-12-14,"Spend Everyday Spending - Ending in 5119","Grubhub.com","Restaurants",,-43.28
2023-12-13,"Spend Everyday Spending - Ending in 5119","6th & E Lobby Shop","General Merchandise",,-5.24
2023-12-13,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-13.95
2023-12-13,"Spend Everyday Spending - Ending in 5119","Grubhub.com","Restaurants",,-37.62
2023-12-13,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-15.75
2023-12-12,"Spend Everyday Spending - Ending in 5119","Discover Bank","Credit Card Payments",,-574.85
2023-12-12,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-16.64
2023-12-12,"Spend Everyday Spending - Ending in 5119","Amazon","General Merchandise",,-19.07
2023-12-11,"Spend Everyday Spending - Ending in 5119","Martin's Food","Groceries",,-20.17
2023-12-11,"Spend Everyday Spending - Ending in 5119","Cvs Pharmacy","Healthcare/Medical",,-3.88
2023-12-11,"Spend Everyday Spending - Ending in 5119","Uber","Travel",,-12.95
2023-12-08,"Spend Everyday Spending - Ending in 5119","Sweetgreen, Inc","Restaurants",,-13.99
2023-12-08,"Spend Everyday Spending - Ending in 5119","Septa","Credit Card Payments",,-30
